TRACKID,BIRD_ID,FILE,LOGGER,EVENT,SUBEVENT,N_INGESTIONS,MULT,OVERLAP,ASY,DETECTED,ONSET_TEMP_T0,ONSET_DATE,ONSET_TIME,TIME,ONSET_HOUR,LON,LAT,SPD_BEF,SPD_AFT,CALC_SPD,MIN_TEMP,MIN_TEMP_DATE,MIN_TEMP_TIME,INT_T0,INT_T1,TRIM_T0,TRIM_T1,END_TEMP_T1,END_DATE,END_TIME,TYPE,MIN_SHAPE,INITIAL_RISE,IR_DUR,IR_BASE,OI_SST,SHCa,m_MOR_BANK,Mf_EST_ALL,MEAL_MASS,ITEM_MASS,PLOT_MEAL_MASS,PLOT_ITEM_MASS,LOW_RES_DEP,HIGH_RES_DEP,COL_DIST,NOTES,SUNRISE,SUNSET,DAY,TWILIGHT_1,TWILIGHT_2,LIGHT,MOR,MOR_2K
#04_1a,4,#04_MT101_220208.TXT,101,1,0,1,no,RISE,Y,Y,36.8489,15/02/2008,13:25:42,15/02/2008 13:25:00,13,-38.06699518,-54.00563598,0,41.30555556,1.805196978,33.8613,15/02/2008,13:26:28,14.32,14.32,11.42,11.42,39.392,15/02/2008,13:35:31,PDER,SHARP,N,,,3.501218607,4,0.0083,12.9,12.9,12.9,1,1,10,349,0.8,,15/02/2008 07:27,15/02/2008 22:04,D,15/02/2008 06:47,15/02/2008 22:44,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,2,0,1,yes,NONE,Y,Y,39.3919,15/02/2008,13:35:43,15/02/2008 13:35:00,13,-38.07927713,-54.00336203,41.30555556,0,0.467343441,33.519,15/02/2008,13:36:53,70.49,53.53,65.51,49.38,38.524,15/02/2008,13:58:22,M_CDER,BLUNT,N,,,3.501699089,4,0.0083,59.2,59.2,NA,1,0,10,114,1.7,,15/02/2008 07:27,15/02/2008 22:04,D,15/02/2008 06:47,15/02/2008 22:44,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,2,1,2,yes,NONE,N,Y,39.3919,15/02/2008,13:35:43,15/02/2008 13:35:00,13,-38.07927713,-54.00336203,41.30555556,0,0.467343441,33.519,15/02/2008,13:36:53,,,,,37.292,15/02/2008,13:42:29,CDER,BLUNT,N,,,3.501699089,4,0.0083,0,NA,29.6,0,1,10,114,1.7,,15/02/2008 07:27,15/02/2008 22:04,D,15/02/2008 06:47,15/02/2008 22:44,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,2,2,2,yes,RISE,Y,Y,37.3458,15/02/2008,13:42:29,15/02/2008 13:42:00,13,-38.07953427,-54.00506287,41.30555556,0,0.467343441,33.519,15/02/2008,13:43:38,,,,,38.524,15/02/2008,13:58:22,CDER,BLUNT,N,,,3.501579344,4,0.0083,0,NA,29.6,0,1,10,216,1.6,,15/02/2008 07:27,15/02/2008 22:04,D,15/02/2008 06:47,15/02/2008 22:44,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,3,0,1,no,NONE,Y,Y,39.4542,15/02/2008,19:16:21,15/02/2008 19:16:00,19,-40.27928305,-53.16638514,12.33333333,0.527777778,2.861514859,34.546,15/02/2008,19:17:03,31.72,20.36,29.28,18.41,38.772,15/02/2008,19:31:38,PDER,SHARP,N,,,3.789189612,4,0.0083,26.8,26.8,26.8,1,1,3589,3892,174,,15/02/2008 07:38,15/02/2008 22:11,D,15/02/2008 06:59,15/02/2008 22:49,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,4,0,1,yes,NONE,Y,Y,39.0821,15/02/2008,20:44:23,15/02/2008 20:44:00,20,-40.95032942,-53.47842167,26.44444444,13.58333333,6.07932362,28.1704,15/02/2008,20:49:16,111.85,111.85,80.11,80.11,39.144,15/02/2008,21:13:46,M_PDER,SHARP,N,,,3.857058816,4,0.0083,95.6,95.6,NA,1,0,1452,2089,199.1,,15/02/2008 07:40,15/02/2008 22:14,D,15/02/2008 07:01,15/02/2008 22:53,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,4,1,2,yes,NONE,N,Y,39.0821,15/02/2008,20:44:23,15/02/2008 20:44:00,20,-40.95032942,-53.47842167,26.44444444,13.58333333,6.07932362,31.3796,15/02/2008,20:46:16,,,,,32.934,15/02/2008,20:47:49,PDER,SHARP,N,,,3.857058816,4,0.0083,0,NA,47.8,0,1,1452,2089,199.1,,15/02/2008 07:40,15/02/2008 22:14,D,15/02/2008 07:01,15/02/2008 22:53,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,4,2,2,yes,NONE,Y,Y,32.934,15/02/2008,20:47:49,15/02/2008 20:47:00,20,-40.9688512,-53.47607478,26.44444444,13.58333333,6.07932362,28.1704,15/02/2008,20:49:16,,,,,39.144,15/02/2008,21:13:46,PDER,SHARP,N,,,3.860676512,4,0.0083,0,NA,47.8,0,1,1576,2055,200.4,,15/02/2008 07:40,15/02/2008 22:14,D,15/02/2008 07:01,15/02/2008 22:53,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,5,0,1,no,NONE,Y,Y,39.144,15/02/2008,21:13:50,15/02/2008 21:13:00,21,-41.24564408,-53.48829104,7.805555556,11.27777778,9.039718699,22.8645,15/02/2008,21:19:16,464.25,496.13,389.6,419.33,39.454,15/02/2008,22:43:33,PDER,BLUNT,N,,,3.904448793,4,0.0083,396.8,396.8,396.8,1,1,1004,1641,217.4,,15/02/2008 07:41,15/02/2008 22:15,D,15/02/2008 07:02,15/02/2008 22:54,L,0,0
#04_1a,4,#04_MT101_220208.TXT,101,6,0,1,no,NONE,Y,Y,38.7722,16/02/2008,04:45:01,16/02/2008 04:45:00,4,-43.15159078,-53.71165803,0,0,0.441548638,32.9902,16/02/2008,04:46:04,35.63,25.61,30.85,21.37,38.214,16/02/2008,05:03:57,PDER,SHARP,N,,,4.34619233,4,0.0083,31.2,31.2,31.2,1,1,2571,2544,335.5,,16/02/2008 07:50,16/02/2008 22:21,N,16/02/2008 07:11,16/02/2008 23:00,D,0,0
