status,date_time,seconds,state
ok,06/05/2009 13:44:57,94488,dry
ok,07/05/2009 15:59:45,78312,dry
ok,08/05/2009 13:44:57,12939,dry
ok,08/05/2009 17:20:36,24,wet
ok,08/05/2009 17:21:00,9,dry
ok,08/05/2009 17:21:09,918,wet
ok,08/05/2009 17:36:27,6,dry
ok,08/05/2009 17:36:33,627,wet
ok,08/05/2009 17:47:00,6,dry
ok,08/05/2009 17:47:06,333,wet
ok,08/05/2009 17:52:39,22251,dry
ok,09/05/2009 00:03:30,1278,wet
ok,09/05/2009 00:24:48,2082,dry
ok,09/05/2009 00:59:30,879,wet
ok,09/05/2009 01:14:09,186,dry
ok,09/05/2009 01:17:15,1005,wet
ok,09/05/2009 01:34:00,183,dry
ok,09/05/2009 01:37:03,1005,wet
ok,09/05/2009 01:53:48,141,dry
ok,09/05/2009 01:56:09,1248,wet
ok,09/05/2009 02:16:57,6,dry
ok,09/05/2009 02:17:03,6,wet
ok,09/05/2009 02:17:09,537,dry
ok,09/05/2009 02:26:06,1005,wet
ok,09/05/2009 02:42:51,42,dry
ok,09/05/2009 02:43:33,918,wet
ok,09/05/2009 02:58:51,168,dry
ok,09/05/2009 03:01:39,168,wet
ok,09/05/2009 03:04:27,282,dry
ok,09/05/2009 03:09:09,1512,wet
ok,09/05/2009 03:34:21,408,dry
ok,09/05/2009 03:41:09,1686,wet
ok,09/05/2009 04:09:15,6,dry
ok,09/05/2009 04:09:21,252,wet
ok,09/05/2009 04:13:33,195,dry
ok,09/05/2009 04:16:48,690,wet
ok,09/05/2009 04:28:18,11829,dry
ok,09/05/2009 07:45:27,996,wet
ok,09/05/2009 08:02:03,156,dry
ok,09/05/2009 08:04:39,306,wet
ok,09/05/2009 08:09:45,384,dry
ok,09/05/2009 08:16:09,606,wet
ok,09/05/2009 08:26:15,828,dry
ok,09/05/2009 08:40:03,1128,wet
ok,09/05/2009 08:58:51,399,dry
ok,09/05/2009 09:05:30,282,wet
ok,09/05/2009 09:10:12,36,dry
ok,09/05/2009 09:10:48,174,wet
ok,09/05/2009 09:13:42,300,dry
ok,09/05/2009 09:18:42,567,wet
ok,09/05/2009 09:28:09,3072,dry
ok,09/05/2009 10:19:21,42,wet
ok,09/05/2009 10:20:03,174,dry
ok,09/05/2009 10:22:57,9,wet
