status,date_time,seconds,state
ok,05/08/2009 09:57:48,94488,dry
ok,06/08/2009 12:12:36,78312,dry
ok,07/08/2009 09:57:48,9309,dry
ok,07/08/2009 12:32:57,6,wet
ok,07/08/2009 12:33:03,33,dry
ok,07/08/2009 12:33:36,63,wet
ok,07/08/2009 12:34:39,81,dry
ok,07/08/2009 12:36:00,15,wet
ok,07/08/2009 12:36:15,27,dry
ok,07/08/2009 12:36:42,12,wet
ok,07/08/2009 12:36:54,6,dry
ok,07/08/2009 12:37:00,105,wet
ok,07/08/2009 12:38:45,9,dry
ok,07/08/2009 12:38:54,6,wet
ok,07/08/2009 12:39:00,9,dry
ok,07/08/2009 12:39:09,9,wet
ok,07/08/2009 12:39:18,21,dry
ok,07/08/2009 12:39:39,132,wet
ok,07/08/2009 12:41:51,6,dry
ok,07/08/2009 12:41:57,90,wet
ok,07/08/2009 12:43:27,6,dry
ok,07/08/2009 12:43:33,12,wet
ok,07/08/2009 12:43:45,18,dry
ok,07/08/2009 12:44:03,21,wet
ok,07/08/2009 12:44:24,3732,dry
ok,07/08/2009 13:46:36,18,wet
ok,07/08/2009 13:46:54,33,dry
ok,07/08/2009 13:47:27,81,wet
ok,07/08/2009 13:48:48,132,dry
ok,07/08/2009 13:51:00,324,wet
ok,07/08/2009 13:56:24,1275,dry
ok,07/08/2009 14:17:39,117,wet
ok,07/08/2009 14:19:36,489,dry
ok,07/08/2009 14:27:45,6,wet
ok,07/08/2009 14:27:51,60,dry
ok,07/08/2009 14:28:51,54,wet
ok,07/08/2009 14:29:45,36,dry
ok,07/08/2009 14:30:21,36,wet
ok,07/08/2009 14:30:57,252,dry
ok,07/08/2009 14:35:09,111,wet
ok,07/08/2009 14:37:00,24,dry
ok,07/08/2009 14:37:24,15,wet
ok,07/08/2009 14:37:39,6,dry
ok,07/08/2009 14:37:45,15,wet
ok,07/08/2009 14:38:00,957,dry
ok,07/08/2009 14:53:57,30,wet
ok,07/08/2009 14:54:27,228,dry
ok,07/08/2009 14:58:15,75,wet
ok,07/08/2009 14:59:30,87,dry
ok,07/08/2009 15:00:57,60,wet
ok,07/08/2009 15:01:57,9,dry
ok,07/08/2009 15:02:06,15,wet
ok,07/08/2009 15:02:21,48,dry
ok,07/08/2009 15:03:09,699,wet
ok,07/08/2009 15:14:48,306,dry
ok,07/08/2009 15:19:54,4599,wet
ok,07/08/2009 16:36:33,13407,dry
ok,07/08/2009 20:20:00,90,wet
ok,07/08/2009 20:21:30,6,dry
ok,07/08/2009 20:21:36,6,wet
ok,07/08/2009 20:21:42,6,dry
ok,07/08/2009 20:21:48,60,wet
ok,07/08/2009 20:22:48,6,dry
ok,07/08/2009 20:22:54,69,wet
ok,07/08/2009 20:24:03,6,dry
ok,07/08/2009 20:24:09,6423,wet
ok,07/08/2009 22:11:12,6,dry
ok,07/08/2009 22:11:18,33,wet
ok,07/08/2009 22:11:51,12,dry
ok,07/08/2009 22:12:03,222,wet
ok,07/08/2009 22:15:45,24,dry
ok,07/08/2009 22:16:09,6,wet
ok,07/08/2009 22:16:15,12,dry
ok,07/08/2009 22:16:27,18,wet
ok,07/08/2009 22:16:45,6,dry
ok,07/08/2009 22:16:51,81,wet
ok,07/08/2009 22:18:12,6,dry
ok,07/08/2009 22:18:18,24,wet
ok,07/08/2009 22:18:42,6,dry
ok,07/08/2009 22:18:48,714,wet
ok,07/08/2009 22:30:42,12,dry
ok,07/08/2009 22:30:54,810,wet
ok,07/08/2009 22:44:24,6,dry
ok,07/08/2009 22:44:30,87,wet
ok,07/08/2009 22:45:57,6,dry
ok,07/08/2009 22:46:03,174,wet
ok,07/08/2009 22:48:57,285,dry
ok,07/08/2009 22:53:42,4152,wet
ok,08/08/2009 00:02:54,62049,dry
