status,date_time,seconds,state
ok,02/06/2009 12:13:33,94488,dry
ok,03/06/2009 14:28:21,78312,dry
ok,04/06/2009 12:13:33,87420,dry
ok,05/06/2009 12:30:33,114,wet
ok,05/06/2009 12:32:27,285,dry
ok,05/06/2009 12:37:12,144,wet
ok,05/06/2009 12:39:36,4719,dry
ok,05/06/2009 13:58:15,144,wet
ok,05/06/2009 14:00:39,45,dry
ok,05/06/2009 14:01:24,18,wet
ok,05/06/2009 14:01:42,1839,dry
ok,05/06/2009 14:32:21,468,wet
ok,05/06/2009 14:40:09,9,dry
ok,05/06/2009 14:40:18,57,wet
ok,05/06/2009 14:41:15,2895,dry
ok,05/06/2009 15:29:30,156,wet
ok,05/06/2009 15:32:06,990,dry
ok,05/06/2009 15:48:36,84,wet
ok,05/06/2009 15:50:00,6,dry
ok,05/06/2009 15:50:06,96,wet
ok,05/06/2009 15:51:42,1716,dry
ok,05/06/2009 16:20:18,96,wet
ok,05/06/2009 16:21:54,6,dry
ok,05/06/2009 16:22:00,87,wet
ok,05/06/2009 16:23:27,792,dry
ok,05/06/2009 16:36:39,4698,wet
ok,05/06/2009 17:54:57,21228,dry
ok,05/06/2009 23:48:45,2448,wet
ok,06/06/2009 00:29:33,8856,dry
ok,06/06/2009 02:57:09,174,wet
ok,06/06/2009 03:00:03,4491,dry
ok,06/06/2009 04:14:54,2481,wet
ok,06/06/2009 04:56:15,18,dry
ok,06/06/2009 04:56:33,48,wet
ok,06/06/2009 04:57:21,3486,dry
ok,06/06/2009 05:55:27,15,wet
ok,06/06/2009 05:55:42,11520,dry
ok,06/06/2009 09:07:42,201,wet
ok,06/06/2009 09:11:03,9,dry
ok,06/06/2009 09:11:12,861,wet
ok,06/06/2009 09:25:33,6,dry
ok,06/06/2009 09:25:39,348,wet
ok,06/06/2009 09:31:27,15,dry
ok,06/06/2009 09:31:42,99,wet
ok,06/06/2009 09:33:21,7176,dry
ok,06/06/2009 11:32:57,342,wet
ok,06/06/2009 11:38:39,6,dry
ok,06/06/2009 11:38:45,306,wet
ok,06/06/2009 11:43:51,9,dry
ok,06/06/2009 11:44:00,6,wet
ok,06/06/2009 11:44:06,6,dry
ok,06/06/2009 11:44:12,258,wet
ok,06/06/2009 11:48:30,1503,dry
ok,06/06/2009 12:13:33,3153,dry
ok,06/06/2009 13:06:06,246,wet
ok,06/06/2009 13:10:12,94488,dry
ok,07/06/2009 15:25:00,483,dry
