date,time,y1,y2,y3,x1,x2,x3,qc,speed,x,y,lat,lon
"06,07,2009",04:26:45,54,0.5072,S,38,3.8242,W,4,0,54.00845333,38.06373667,-54.00845333,-38.06373667
"06,07,2009",04:47:26,54,1.9884,S,38,8.8603,W,2.7,3.2,54.03314,38.14767167,-54.03314,-38.14767167
"06,07,2009",05:07:52,54,2.7197,S,38,9.5702,W,2,1.9,54.04532833,38.15950333,-54.04532833,-38.15950333
"06,07,2009",05:28:20,54,3.4485,S,38,11.3416,W,1.1,0,54.057475,38.18902667,-54.057475,-38.18902667
"06,07,2009",05:48:32,54,3.548,S,38,10.9003,W,4.9,0,54.05913333,38.18167167,-54.05913333,-38.18167167
"06,07,2009",06:08:56,54,3.6496,S,38,10.4854,W,3.5,42.5,54.06082667,38.17475667,-54.06082667,-38.17475667
"06,07,2009",06:29:54,54,4.5526,S,38,11.9287,W,2.2,31.5,54.07587667,38.19881167,-54.07587667,-38.19881167
"06,07,2009",06:50:41,54,11.5417,S,38,17.8458,W,2,36.9,54.19236167,38.29743,-54.19236167,-38.29743
"06,07,2009",07:10:55,54,18.3964,S,38,25.072,W,1.6,43.1,54.30660667,38.41786667,-54.30660667,-38.41786667
"06,07,2009",07:31:17,54,25.2231,S,38,32.7926,W,1.8,50.9,54.420385,38.54654333,-54.420385,-38.54654333
"06,07,2009",07:52:13,54,32.1576,S,38,39.5818,W,4.5,22.7,54.53596,38.65969667,-54.53596,-38.65969667
"06,07,2009",08:12:49,54,38.6254,S,38,44.997,W,2.2,0,54.64375667,38.74995,-54.64375667,-38.74995
"06,07,2009",08:33:19,54,38.7647,S,38,44.5222,W,5.3,0,54.64607833,38.74203667,-54.64607833,-38.74203667
"06,07,2009",08:53:30,54,43.6987,S,38,48.9591,W,3.5,45.3,54.72831167,38.815985,-54.72831167,-38.815985
"06,07,2009",09:13:37,54,50.4757,S,38,55.8974,W,6,38.6,54.84126167,38.93162333,-54.84126167,-38.93162333
"06,07,2009",09:33:48,54,56.5393,S,39,3.6342,W,2.7,52.4,54.94232167,39.06057,-54.94232167,-39.06057
"06,07,2009",09:54:03,55,3.725,S,39,10.9361,W,2.7,60.9,55.06208333,39.18226833,-55.06208333,-39.18226833
"06,07,2009",10:14:15,55,9.4624,S,39,20.2756,W,3.7,38.2,55.15770667,39.33792667,-55.15770667,-39.33792667
"06,07,2009",10:34:25,55,12.6409,S,39,31.3362,W,5.5,49.2,55.21068167,39.52227,-55.21068167,-39.52227
"06,07,2009",10:54:49,55,14.2425,S,39,42.957,W,5,31.6,55.237375,39.71595,-55.237375,-39.71595
"06,07,2009",11:15:02,55,14.5787,S,39,45.4568,W,3.4,54.8,55.24297833,39.75761333,-55.24297833,-39.75761333
"06,07,2009",11:35:43,55,13.3532,S,39,54.3455,W,2.5,49.2,55.22255333,39.90575833,-55.22255333,-39.90575833
"06,07,2009",11:56:01,55,10.4757,S,39,59.9213,W,5,37.9,55.174595,39.99868833,-55.174595,-39.99868833
"06,07,2009",12:16:43,55,5.4076,S,40,1.4564,W,1.2,64.3,55.09012667,40.02427333,-55.09012667,-40.02427333
"06,07,2009",12:36:56,55,1.144,S,40,6.281,W,5.4,42.9,55.01906667,40.10468333,-55.01906667,-40.10468333
"06,07,2009",12:57:04,54,56.5903,S,40,11.27,W,1.7,43.1,54.94317167,40.18783333,-54.94317167,-40.18783333
"06,07,2009",13:17:20,54,51.9942,S,40,15.0925,W,1.7,37.9,54.86657,40.25154167,-54.86657,-40.25154167
"06,07,2009",13:37:42,54,47.2183,S,40,20.4418,W,2.4,44.9,54.78697167,40.34069667,-54.78697167,-40.34069667
"06,07,2009",13:57:53,54,42.9573,S,40,27.1975,W,1.5,37.8,54.715955,40.45329167,-54.715955,-40.45329167
"06,07,2009",14:18:42,54,40.0023,S,40,32.6981,W,3,49.9,54.666705,40.54496833,-54.666705,-40.54496833
"06,07,2009",14:39:38,54,34.7753,S,40,33.4794,W,2.4,58.2,54.57958833,40.55799,-54.57958833,-40.55799
"06,07,2009",15:00:00,54,30.6714,S,40,38.8464,W,2.2,43.1,54.51119,40.64744,-54.51119,-40.64744
"06,07,2009",15:20:23,54,25.9869,S,40,40.7731,W,2.4,41,54.433115,40.67955167,-54.433115,-40.67955167
"06,07,2009",15:40:52,54,22.7502,S,40,45.5997,W,1.7,54.9,54.37917,40.759995,-54.37917,-40.759995
"06,07,2009",16:01:02,54,23.0438,S,40,57.3838,W,1.6,46.7,54.38406333,40.95639667,-54.38406333,-40.95639667
"06,07,2009",16:21:10,54,23.7628,S,41,7.7734,W,2.5,29.7,54.39604667,41.12955667,-54.39604667,-41.12955667
"06,07,2009",16:41:19,54,24.7488,S,41,14.0601,W,1.8,44.4,54.41248,41.234335,-54.41248,-41.234335
"06,07,2009",17:01:31,54,23.93,S,41,21.3267,W,3,41.6,54.39883333,41.355445,-54.39883333,-41.355445
"06,07,2009",17:21:51,54,22.5013,S,41,27.7719,W,4.6,51,54.37502167,41.462865,-54.37502167,-41.462865
