date,time,y1,y2,y3,x1,x2,x3,qc,speed,x,y,lat,lon
"07,08,2009",12:22:46,54,0.5014,S,38,3.8095,W,8.5,3.3,54.00835667,38.06349167,-54.00835667,-38.06349167
"07,08,2009",12:43:54,53,59.2559,S,38,5.6212,W,7.6,3.3,53.98759833,38.09368667,-53.98759833,-38.09368667
"07,08,2009",13:22:21,53,48.1671,S,38,35.3682,W,3.4,87.6,53.802785,38.58947,-53.802785,-38.58947
"07,08,2009",13:43:31,53,41.5177,S,38,52.9038,W,3.2,31.6,53.69196167,38.88173,-53.69196167,-38.88173
"07,08,2009",14:04:18,53,41.2736,S,38,53.6169,W,6.9,75.7,53.68789333,38.893615,-53.68789333,-38.893615
"07,08,2009",14:26:46,53,41.0499,S,38,54.1445,W,2,39.3,53.684165,38.90240833,-53.684165,-38.90240833
"07,08,2009",14:47:46,53,41.3972,S,38,54.5971,W,2.2,51.7,53.68995333,38.90995167,-53.68995333,-38.90995167
"07,08,2009",15:08:09,53,41.4643,S,38,54.5633,W,7,0,53.69107167,38.90938833,-53.69107167,-38.90938833
"07,08,2009",15:28:54,53,40.0487,S,38,55.5294,W,7.5,0,53.66747833,38.92549,-53.66747833,-38.92549
"07,08,2009",15:49:15,53,39.8489,S,38,55.8093,W,9.8,1.8,53.66414833,38.930155,-53.66414833,-38.930155
"07,08,2009",16:09:22,53,39.6562,S,38,56.0939,W,6.8,2.3,53.66093667,38.93489833,-53.66093667,-38.93489833
"07,08,2009",16:29:31,53,39.4752,S,38,56.4126,W,4.6,5.2,53.65792,38.94021,-53.65792,-38.94021
"07,08,2009",16:51:33,53,40.017,S,38,48.2282,W,7.6,67,53.66695,38.80380333,-53.66695,-38.80380333
"07,08,2009",17:15:14,53,42.2288,S,38,44.3913,W,6.8,24,53.70381333,38.739855,-53.70381333,-38.739855
"07,08,2009",17:35:26,53,44.0194,S,38,39.1664,W,5.1,50.2,53.73365667,38.65277333,-53.73365667,-38.65277333
"07,08,2009",17:56:34,53,45.435,S,38,34.0795,W,3.9,65.8,53.75725,38.56799167,-53.75725,-38.56799167
"07,08,2009",18:17:55,53,48.2452,S,38,27.9071,W,2.7,43.6,53.80408667,38.46511833,-53.80408667,-38.46511833
"07,08,2009",18:41:08,53,51.1462,S,38,21.2371,W,2,45.6,53.85243667,38.35395167,-53.85243667,-38.35395167
"07,08,2009",19:01:22,53,53.4093,S,38,14.9251,W,1.6,36.4,53.890155,38.24875167,-53.890155,-38.24875167
"07,08,2009",19:21:41,53,55.8731,S,38,7.5281,W,1.6,50.7,53.93121833,38.12546833,-53.93121833,-38.12546833
"07,08,2009",19:41:55,53,58.4523,S,38,7.2035,W,2.7,36.1,53.974205,38.12005833,-53.974205,-38.12005833
"07,08,2009",20:02:04,54,0.055,S,38,4.8201,W,3.7,45.5,54.00091667,38.080335,-54.00091667,-38.080335
"07,08,2009",20:23:10,53,57.6964,S,38,3.5182,W,5,0,53.96160667,38.05863667,-53.96160667,-38.05863667
"07,08,2009",20:43:53,53,57.568,S,38,3.5504,W,5.1,1.9,53.95946667,38.05917333,-53.95946667,-38.05917333
"07,08,2009",21:04:01,53,57.3599,S,38,3.715,W,5.1,0,53.95599833,38.06191667,-53.95599833,-38.06191667
"07,08,2009",21:24:08,53,57.1316,S,38,3.7867,W,7.1,5.3,53.95219333,38.06311167,-53.95219333,-38.06311167
"07,08,2009",21:44:30,53,56.893,S,38,3.8953,W,1.8,1.9,53.94821667,38.06492167,-53.94821667,-38.06492167
"07,08,2009",22:04:44,53,56.6189,S,38,4.0057,W,6.1,0,53.94364833,38.06676167,-53.94364833,-38.06676167
"07,08,2009",22:25:23,53,56.3206,S,38,4.0991,W,1.5,2.2,53.93867667,38.06831833,-53.93867667,-38.06831833
"07,08,2009",22:45:32,53,56.0387,S,38,4.1055,W,3,0,53.93397833,38.068425,-53.93397833,-38.068425
"07,08,2009",23:05:40,53,55.9124,S,38,4.1531,W,6,2.3,53.93187333,38.06921833,-53.93187333,-38.06921833
"07,08,2009",23:25:48,53,55.6447,S,38,4.0868,W,6.5,1.8,53.92741167,38.06811333,-53.92741167,-38.06811333
"07,08,2009",23:46:02,53,55.375,S,38,3.9785,W,7,11.3,53.92291667,38.06630833,-53.92291667,-38.06630833
"08,08,2009",00:06:23,53,54.8278,S,38,4.6125,W,3.5,36.6,53.91379667,38.076875,-53.91379667,-38.076875
"08,08,2009",00:28:09,53,56.9994,S,38,5.7215,W,7.8,52,53.94999,38.09535833,-53.94999,-38.09535833
"08,08,2009",00:48:29,53,59.1639,S,38,7.7609,W,2.5,47.8,53.986065,38.12934833,-53.986065,-38.12934833
"08,08,2009",01:09:09,54,1.2018,S,38,4.2299,W,2,0,54.02003,38.07049833,-54.02003,-38.07049833
"08,08,2009",01:30:18,54,0.52,S,38,3.8428,W,2,0,54.00866667,38.06404667,-54.00866667,-38.06404667
