date,time,y1,y2,y3,x1,x2,x3,qc,speed,x,y,lat,lon
"09,05,2009",14:54:04,54,0.5092,S,38,3.8932,W,3.2,1.8,54.00848667,38.06488667,-54.00848667,-38.06488667
"09,05,2009",15:15:30,53,56.7342,S,38,5.2869,W,2.2,45.4,53.94557,38.088115,-53.94557,-38.088115
"09,05,2009",15:36:11,53,49.583,S,38,1.927,W,1.3,49.3,53.82638333,38.03211667,-53.82638333,-38.03211667
"09,05,2009",15:56:22,53,42.88,S,37,55.5723,W,1.6,56.9,53.71466667,37.926205,-53.71466667,-37.926205
"09,05,2009",16:16:34,53,36.2881,S,37,53.8695,W,1.2,43,53.60480167,37.897825,-53.60480167,-37.897825
"09,05,2009",16:36:54,53,31.2813,S,37,44.9389,W,1.7,60.9,53.521355,37.74898167,-53.521355,-37.74898167
"09,05,2009",16:57:05,53,28.7467,S,37,43.4549,W,5.5,42.3,53.47911167,37.72424833,-53.47911167,-37.72424833
"09,05,2009",17:19:11,53,30.3125,S,37,59.2229,W,2.2,84,53.50520833,37.98704833,-53.50520833,-37.98704833
"09,05,2009",17:39:19,53,33.0643,S,38,14.9413,W,3.5,66.6,53.55107167,38.24902167,-53.55107167,-38.24902167
"09,05,2009",17:59:24,53,40.0506,S,38,22.6736,W,6.1,63.1,53.66751,38.37789333,-53.66751,-38.37789333
"09,05,2009",18:19:38,53,38.2615,S,38,39.9992,W,11.1,80.2,53.63769167,38.66665333,-53.63769167,-38.66665333
"09,05,2009",18:40:17,53,39.4193,S,38,58.1911,W,8,68.8,53.65698833,38.96985167,-53.65698833,-38.96985167
"09,05,2009",19:02:02,53,41.3256,S,39,20.7967,W,7.5,56.2,53.68876,39.34661167,-53.68876,-39.34661167
"09,05,2009",19:23:52,53,43.3697,S,39,45.5215,W,4.9,54.8,53.72282833,39.75869167,-53.72282833,-39.75869167
"09,05,2009",19:44:04,53,43.1279,S,40,8.0497,W,5.1,99.6,53.71879833,40.13416167,-53.71879833,-40.13416167
"09,05,2009",20:06:45,53,42.1185,S,40,26.2564,W,6,82.6,53.701975,40.43760667,-53.701975,-40.43760667
"09,05,2009",20:26:54,53,40.7212,S,40,44.1485,W,4.5,56.9,53.67868667,40.73580833,-53.67868667,-40.73580833
"09,05,2009",20:47:03,53,38.2089,S,40,59.5369,W,4.8,76.4,53.636815,40.99228167,-53.636815,-40.99228167
"09,05,2009",21:07:48,53,37.5416,S,41,3.0551,W,4,2.4,53.62569333,41.05091833,-53.62569333,-41.05091833
"09,05,2009",21:28:24,53,37.7901,S,41,3.2719,W,1.2,2.6,53.629835,41.05453167,-53.629835,-41.05453167
"09,05,2009",21:48:32,53,38.0203,S,41,3.4354,W,2.5,3.5,53.63367167,41.05725667,-53.63367167,-41.05725667
"09,05,2009",22:08:46,53,41.7503,S,41,4.3588,W,1.6,0,53.69583833,41.07264667,-53.69583833,-41.07264667
"09,05,2009",22:28:53,53,41.3193,S,41,2.392,W,5.4,54.3,53.688655,41.03986667,-53.688655,-41.03986667
"09,05,2009",22:49:26,53,40.7533,S,41,1.9289,W,2.2,2.1,53.67922167,41.03214833,-53.67922167,-41.03214833
"09,05,2009",23:10:00,53,39.7067,S,41,0.1432,W,2,1.8,53.66177833,41.00238667,-53.66177833,-41.00238667
"09,05,2009",23:30:52,53,38.7842,S,40,59.778,W,6.5,5.9,53.64640333,40.9963,-53.64640333,-40.9963
"09,05,2009",23:51:39,53,38.982,S,40,59.6094,W,6.5,0,53.6497,40.99349,-53.6497,-40.99349
"10,05,2009",00:12:33,53,39.1777,S,40,59.437,W,6.4,0,53.65296167,40.99061667,-53.65296167,-40.99061667
"10,05,2009",00:33:46,53,36.7649,S,40,58.3706,W,2,31.6,53.61274833,40.97284333,-53.61274833,-40.97284333
"10,05,2009",00:55:26,53,36.7965,S,41,7.657,W,3.7,28.6,53.613275,41.12761667,-53.613275,-41.12761667
"10,05,2009",01:16:09,53,34.3058,S,41,5.5589,W,1.7,0,53.57176333,41.09264833,-53.57176333,-41.09264833
