date,time,y1,y2,y3,x1,x2,x3,qc,speed,x,y,lat,lon
"04,09,2009",17:08:30,54,0.4925,S,38,3.6282,W,2.5,0,54.00820833,38.06047,-54.00820833,-38.06047
"04,09,2009",17:28:46,53,59.3082,S,38,6.0823,W,3,0,53.98847,38.10137167,-53.98847,-38.10137167
"04,09,2009",17:49:19,53,59.2567,S,38,6.0236,W,4,0,53.98761167,38.10039333,-53.98761167,-38.10039333
"04,09,2009",18:09:47,53,59.1494,S,38,5.9876,W,2.5,0,53.98582333,38.09979333,-53.98582333,-38.09979333
"04,09,2009",18:30:20,53,59.088,S,38,5.7632,W,4.1,2.6,53.9848,38.09605333,-53.9848,-38.09605333
"04,09,2009",18:50:50,53,59.0355,S,38,5.5156,W,2.7,0,53.983925,38.09192667,-53.983925,-38.09192667
"04,09,2009",19:11:01,53,54.6112,S,38,11.1956,W,4.8,63.7,53.91018667,38.18659333,-53.91018667,-38.18659333
"04,09,2009",19:31:12,53,48.9666,S,38,20.9674,W,1.5,22.8,53.81611,38.34945667,-53.81611,-38.34945667
"04,09,2009",19:51:19,53,42.397,S,38,29.7636,W,7,88.1,53.70661667,38.49606,-53.70661667,-38.49606
"04,09,2009",20:11:31,53,36.7109,S,38,37.898,W,1.8,83.1,53.61184833,38.63163333,-53.61184833,-38.63163333
"04,09,2009",20:31:54,53,32.5855,S,38,44.5842,W,3.5,6.6,53.54309167,38.74307,-53.54309167,-38.74307
"04,09,2009",20:52:38,53,32.5016,S,38,44.4615,W,1.2,0,53.54169333,38.741025,-53.54169333,-38.741025
"04,09,2009",21:12:48,53,32.3933,S,38,44.4109,W,9.6,5.1,53.53988833,38.74018167,-53.53988833,-38.74018167
"04,09,2009",21:33:01,53,32.2777,S,38,44.3962,W,3.2,5.2,53.53796167,38.73993667,-53.53796167,-38.73993667
"04,09,2009",21:53:11,53,32.1766,S,38,44.3615,W,2.2,4.5,53.53627667,38.73935833,-53.53627667,-38.73935833
"04,09,2009",22:13:22,53,32.0874,S,38,44.2611,W,2.4,2.2,53.53479,38.737685,-53.53479,-38.737685
"04,09,2009",22:33:49,53,31.991,S,38,44.1458,W,3.2,3.4,53.53318333,38.73576333,-53.53318333,-38.73576333
"04,09,2009",22:53:57,53,31.9032,S,38,44.0475,W,4.3,0,53.53172,38.734125,-53.53172,-38.734125
"04,09,2009",23:14:05,53,31.7951,S,38,43.9469,W,7.3,2.1,53.52991833,38.73244833,-53.52991833,-38.73244833
"04,09,2009",23:34:13,53,31.6699,S,38,43.8224,W,8.6,3.6,53.52783167,38.73037333,-53.52783167,-38.73037333
"04,09,2009",23:54:21,53,31.5689,S,38,43.6795,W,3.5,0,53.52614833,38.72799167,-53.52614833,-38.72799167
"05,09,2009",00:14:34,53,31.4677,S,38,43.5698,W,3.2,2.6,53.52446167,38.72616333,-53.52446167,-38.72616333
"05,09,2009",00:35:12,53,31.3648,S,38,43.4513,W,2.5,0,53.52274667,38.72418833,-53.52274667,-38.72418833
"05,09,2009",00:55:20,53,31.2452,S,38,43.3513,W,3.2,3,53.52075333,38.72252167,-53.52075333,-38.72252167
"05,09,2009",01:15:28,53,31.1334,S,38,43.2483,W,6.3,2.7,53.51889,38.720805,-53.51889,-38.720805
"05,09,2009",01:36:04,53,31.0116,S,38,43.1419,W,2,0,53.51686,38.71903167,-53.51686,-38.71903167
"05,09,2009",01:56:13,53,30.8909,S,38,42.9791,W,3.2,2.8,53.51484833,38.71631833,-53.51484833,-38.71631833
"05,09,2009",02:16:27,53,30.8247,S,38,42.92,W,9.1,3.6,53.513745,38.71533333,-53.513745,-38.71533333
"05,09,2009",02:36:48,53,27.4489,S,38,50.1091,W,2.9,54.6,53.45748167,38.83515167,-53.45748167,-38.83515167
"05,09,2009",02:57:17,53,27.2461,S,38,50.2835,W,1.7,0,53.45410167,38.83805833,-53.45410167,-38.83805833
"05,09,2009",03:17:24,53,27.2216,S,38,50.1582,W,4,0,53.45369333,38.83597,-53.45369333,-38.83597
"05,09,2009",03:37:32,53,27.1526,S,38,50.0697,W,1.7,0,53.45254333,38.834495,-53.45254333,-38.834495
"05,09,2009",03:57:38,53,27.092,S,38,49.9954,W,4.5,0,53.45153333,38.83325667,-53.45153333,-38.83325667
"05,09,2009",04:17:50,53,27.0142,S,38,49.9188,W,3.4,2.9,53.45023667,38.83198,-53.45023667,-38.83198
"05,09,2009",04:38:01,53,26.9548,S,38,49.8376,W,3,2.7,53.44924667,38.83062667,-53.44924667,-38.83062667
"05,09,2009",04:58:41,53,26.8968,S,38,49.7677,W,2.4,0,53.44828,38.82946167,-53.44828,-38.82946167
"05,09,2009",05:18:49,53,26.8603,S,38,49.7316,W,5.1,0,53.44767167,38.82886,-53.44767167,-38.82886
"05,09,2009",05:38:58,53,26.8317,S,38,49.6845,W,3.7,0,53.447195,38.828075,-53.447195,-38.828075
"05,09,2009",05:59:07,53,26.8224,S,38,49.6093,W,4.3,0,53.44704,38.82682167,-53.44704,-38.82682167
"05,09,2009",06:19:23,53,26.8688,S,38,49.5959,W,5.4,2.5,53.44781333,38.82659833,-53.44781333,-38.82659833
"05,09,2009",06:39:48,53,26.927,S,38,49.5504,W,7.9,2.8,53.44878333,38.82584,-53.44878333,-38.82584
"05,09,2009",07:00:19,53,25.6819,S,38,50.35,W,1.2,39.4,53.42803167,38.83916667,-53.42803167,-38.83916667
"05,09,2009",07:20:28,53,19.4026,S,38,53.4389,W,1.7,46.4,53.32337667,38.89064833,-53.32337667,-38.89064833
"05,09,2009",07:40:45,53,13.1378,S,38,56.4796,W,1.2,40.7,53.21896333,38.94132667,-53.21896333,-38.94132667
"05,09,2009",08:00:55,53,6.9772,S,38,58.1317,W,2.9,54.7,53.11628667,38.96886167,-53.11628667,-38.96886167
"05,09,2009",08:21:01,53,1.6131,S,38,58.5064,W,1.6,44.1,53.026885,38.97510667,-53.026885,-38.97510667
"05,09,2009",08:41:10,52,55.9362,S,39,1.4214,W,1.5,37.5,52.93227,39.02369,-52.93227,-39.02369
"05,09,2009",09:01:21,52,53.6034,S,39,8.5097,W,10.8,64.5,52.89339,39.14182833,-52.89339,-39.14182833
"05,09,2009",09:21:32,52,55.2968,S,39,20.9661,W,9.8,83.4,52.92161333,39.349435,-52.92161333,-39.349435
"05,09,2009",09:42:16,52,56.6396,S,39,32.9433,W,1.5,84,52.94399333,39.549055,-52.94399333,-39.549055
"05,09,2009",10:04:10,52,55.443,S,39,42.3888,W,2.5,66.4,52.92405,39.70648,-52.92405,-39.70648
"05,09,2009",10:24:18,52,50.7493,S,39,37.6933,W,4.6,40,52.84582167,39.62822167,-52.84582167,-39.62822167
"05,09,2009",10:44:24,52,48.6404,S,39,46.549,W,2.5,64.8,52.81067333,39.77581667,-52.81067333,-39.77581667
"05,09,2009",11:04:33,52,47.5587,S,39,52.9339,W,3.5,46.6,52.792645,39.88223167,-52.792645,-39.88223167
"05,09,2009",11:24:42,52,42.5652,S,39,45.8624,W,1.7,59.3,52.70942,39.76437333,-52.70942,-39.76437333
"05,09,2009",11:44:54,52,37.1494,S,39,37.252,W,3.5,53.4,52.61915667,39.62086667,-52.61915667,-39.62086667
"05,09,2009",12:05:09,52,31.5305,S,39,29.6573,W,2.2,24.9,52.52550833,39.49428833,-52.52550833,-39.49428833
"05,09,2009",12:25:48,52,29.5623,S,39,33.3857,W,8.1,61.4,52.492705,39.55642833,-52.492705,-39.55642833
"05,09,2009",12:46:18,52,29.5368,S,39,48.1919,W,11.1,85.1,52.49228,39.80319833,-52.49228,-39.80319833
"05,09,2009",13:07:05,52,29.0917,S,40,2.2581,W,4.1,64.9,52.48486167,40.037635,-52.48486167,-40.037635
"05,09,2009",13:27:25,52,29.5198,S,40,11.5177,W,5.1,46.8,52.49199667,40.19196167,-52.49199667,-40.19196167
"05,09,2009",13:47:57,52,32.0441,S,40,27.1196,W,2.9,67.7,52.53406833,40.45199333,-52.53406833,-40.45199333
"05,09,2009",14:08:48,52,34.6062,S,40,36.3346,W,2.2,0,52.57677,40.60557667,-52.57677,-40.60557667
"05,09,2009",14:28:57,52,34.797,S,40,36.3105,W,3.4,2.1,52.57995,40.605175,-52.57995,-40.605175
"05,09,2009",14:49:05,52,34.9748,S,40,36.2419,W,3,0,52.58291333,40.60403167,-52.58291333,-40.60403167
"05,09,2009",15:09:12,52,35.1376,S,40,36.1769,W,4.4,0,52.58562667,40.60294833,-52.58562667,-40.60294833
"05,09,2009",15:29:23,52,35.3065,S,40,36.0992,W,3.7,5.8,52.58844167,40.60165333,-52.58844167,-40.60165333
"05,09,2009",15:49:30,52,35.4259,S,40,35.9562,W,3.2,9.2,52.59043167,40.59927,-52.59043167,-40.59927
"05,09,2009",16:10:11,52,35.5727,S,40,35.7796,W,3.5,4,52.59287833,40.59632667,-52.59287833,-40.59632667
