date,time,y1,y2,y3,x1,x2,x3,qc,speed,x,y,lat,lon
"05,06,2009",12:18:57,54,0.5601,S,38,3.8895,W,2.7,0,54.009335,38.064825,-54.009335,-38.064825
"05,06,2009",12:39:09,53,57.1183,S,38,8.3197,W,1.8,3.5,53.95197167,38.13866167,-53.95197167,-38.13866167
"05,06,2009",12:59:50,53,49.039,S,37,56.8441,W,3,90.7,53.81731667,37.94740167,-53.81731667,-37.94740167
"05,06,2009",13:20:01,53,41.2108,S,37,59.9823,W,4.1,59.4,53.68684667,37.999705,-53.68684667,-37.999705
"05,06,2009",13:40:14,53,38.2261,S,38,16.1718,W,7.9,68.3,53.63710167,38.26953,-53.63710167,-38.26953
"05,06,2009",14:12:31,53,39.078,S,38,34.6635,W,2.2,37.9,53.6513,38.577725,-53.6513,-38.577725
"05,06,2009",14:32:51,53,40.7891,S,38,42.899,W,1.7,24.5,53.67981833,38.71498333,-53.67981833,-38.71498333
"05,06,2009",14:55:34,53,42.768,S,38,41.9356,W,2.5,70.3,53.7128,38.69892667,-53.7128,-38.69892667
"05,06,2009",15:15:51,53,40.5191,S,38,36.2836,W,1.2,68.5,53.67531833,38.60472667,-53.67531833,-38.60472667
"05,06,2009",15:36:05,53,41.2252,S,38,42.3125,W,6.8,39,53.68708667,38.70520833,-53.68708667,-38.70520833
"05,06,2009",15:56:27,53,41.613,S,38,38.976,W,11.5,102.4,53.69355,38.6496,-53.69355,-38.6496
"05,06,2009",16:21:29,53,41.6979,S,38,42.7464,W,3.2,2,53.694965,38.71244,-53.694965,-38.71244
"05,06,2009",16:41:44,53,41.4768,S,38,44.4416,W,4.5,4,53.69128,38.74069333,-53.69128,-38.74069333
"05,06,2009",17:01:58,53,41.4482,S,38,44.6173,W,3,2.6,53.69080333,38.74362167,-53.69080333,-38.74362167
"05,06,2009",17:22:13,53,41.4054,S,38,44.7075,W,2.5,3.6,53.69009,38.745125,-53.69009,-38.745125
"05,06,2009",17:42:49,53,41.3551,S,38,44.866,W,2.2,2.7,53.68925167,38.74776667,-53.68925167,-38.74776667
"05,06,2009",18:04:21,53,38.9973,S,38,45.6969,W,2.5,91.6,53.649955,38.761615,-53.649955,-38.761615
"05,06,2009",18:30:02,53,34.5403,S,39,2.8241,W,5.6,20.7,53.57567167,39.04706833,-53.57567167,-39.04706833
"05,06,2009",19:17:47,53,30.265,S,39,24.7925,W,2.9,75,53.50441667,39.41320833,-53.50441667,-39.41320833
"05,06,2009",19:38:24,53,28.36,S,39,35.1745,W,8.3,66.7,53.47266667,39.58624167,-53.47266667,-39.58624167
"05,06,2009",19:59:13,53,26.2792,S,39,46.1645,W,8,38.9,53.43798667,39.76940833,-53.43798667,-39.76940833
"05,06,2009",20:28:31,53,28.4871,S,39,40.8085,W,10.6,54.7,53.474785,39.68014167,-53.474785,-39.68014167
"05,06,2009",20:54:54,53,30.82,S,39,33.3441,W,2.4,63.3,53.51366667,39.555735,-53.51366667,-39.555735
"05,06,2009",21:19:51,53,33.6703,S,39,32.0205,W,1.7,37.6,53.56117167,39.533675,-53.56117167,-39.533675
"05,06,2009",21:45:18,53,34.7824,S,39,26.1536,W,1.3,41.7,53.57970667,39.43589333,-53.57970667,-39.43589333
"05,06,2009",22:12:28,53,36.1709,S,39,16.1862,W,10.1,44.4,53.60284833,39.26977,-53.60284833,-39.26977
"05,06,2009",22:40:52,53,37.1751,S,39,16.2806,W,6.4,0,53.619585,39.27134333,-53.619585,-39.27134333
"05,06,2009",23:06:19,53,38.5511,S,39,19.4198,W,1.3,48.3,53.64251833,39.32366333,-53.64251833,-39.32366333
"05,06,2009",23:33:17,53,34.284,S,39,34.5693,W,1.2,56.1,53.5714,39.576155,-53.5714,-39.576155
"05,06,2009",23:53:59,53,35.5331,S,39,29.9267,W,2,4.3,53.59221833,39.49877833,-53.59221833,-39.49877833
"06,06,2009",00:14:10,53,35.3784,S,39,30.1355,W,1.7,0,53.58964,39.50225833,-53.58964,-39.50225833
"06,06,2009",00:34:23,53,35.493,S,39,29.1086,W,4.1,89.5,53.59155,39.48514333,-53.59155,-39.48514333
"06,06,2009",00:54:40,53,36.662,S,39,23.8322,W,2.4,71.7,53.61103333,39.39720333,-53.61103333,-39.39720333
"06,06,2009",01:15:06,53,36.7791,S,39,14.9563,W,1.8,84.1,53.612985,39.24927167,-53.612985,-39.24927167
"06,06,2009",01:35:27,53,38.7339,S,39,6.2489,W,10.8,66.8,53.645565,39.10414833,-53.645565,-39.10414833
"06,06,2009",01:55:48,53,37.5106,S,38,58.1043,W,3,51.9,53.62517667,38.968405,-53.62517667,-38.968405
"06,06,2009",02:24:47,53,39.4694,S,38,47.4205,W,1.5,40.7,53.65782333,38.79034167,-53.65782333,-38.79034167
"06,06,2009",02:45:30,53,37.3062,S,38,39.6755,W,1.3,33.5,53.62177,38.66125833,-53.62177,-38.66125833
"06,06,2009",03:08:20,53,35.8656,S,38,48.0442,W,2.5,55.3,53.59776,38.80073667,-53.59776,-38.80073667
"06,06,2009",03:33:55,53,37.0079,S,38,48.4997,W,1.2,56.1,53.61679833,38.80832833,-53.61679833,-38.80832833
"06,06,2009",03:54:06,53,36.8257,S,38,47.3252,W,2.7,47,53.61376167,38.78875333,-53.61376167,-38.78875333
"06,06,2009",04:16:49,53,36.5897,S,38,53.1187,W,2.5,0,53.60982833,38.88531167,-53.60982833,-38.88531167
"06,06,2009",04:37:30,53,36.6046,S,38,53.4057,W,1.7,3.5,53.61007667,38.890095,-53.61007667,-38.890095
"06,06,2009",04:57:36,53,36.6077,S,38,53.6034,W,2.7,0,53.61012833,38.89339,-53.61012833,-38.89339
"06,06,2009",05:44:19,53,40.4679,S,39,2.4296,W,1.6,45.9,53.674465,39.04049333,-53.674465,-39.04049333
"06,06,2009",06:41:19,53,45.4835,S,39,8.7169,W,2.9,36.6,53.75805833,39.14528167,-53.75805833,-39.14528167
"06,06,2009",07:02:00,53,45.7405,S,39,16.3454,W,2,48.1,53.76234167,39.27242333,-53.76234167,-39.27242333
"06,06,2009",07:29:02,53,48.9435,S,39,19.8843,W,1.7,41.5,53.815725,39.331405,-53.815725,-39.331405
"06,06,2009",07:55:17,53,49.0901,S,39,29.6345,W,1.8,37,53.81816833,39.49390833,-53.81816833,-39.49390833
"06,06,2009",08:23:28,53,48.1236,S,39,41.5804,W,6.4,33.8,53.80206,39.69300667,-53.80206,-39.69300667
"06,06,2009",08:50:16,53,46.9737,S,39,49.6428,W,5.8,0,53.782895,39.82738,-53.782895,-39.82738
"06,06,2009",09:10:59,53,48.8594,S,39,46.1425,W,2.4,0,53.81432333,39.76904167,-53.81432333,-39.76904167
"06,06,2009",09:31:09,53,48.6415,S,39,45.877,W,1.7,3.6,53.81069167,39.76461667,-53.81069167,-39.76461667
"06,06,2009",09:51:29,53,50.7331,S,39,36.9959,W,1.7,28.4,53.84555167,39.61659833,-53.84555167,-39.61659833
"06,06,2009",10:12:15,53,53.9599,S,39,31.1048,W,4.8,55,53.89933167,39.51841333,-53.89933167,-39.51841333
"06,06,2009",10:32:29,53,56.2221,S,39,18.7866,W,4,54.1,53.937035,39.31311,-53.937035,-39.31311
"06,06,2009",11:33:23,54,8.0034,S,39,28.9622,W,1.2,39.4,54.13339,39.48270333,-54.13339,-39.48270333
"06,06,2009",11:54:12,54,8.4213,S,39,29.4716,W,4,112.4,54.140355,39.49119333,-54.140355,-39.49119333
"06,06,2009",12:15:57,54,9.9827,S,39,12.1965,W,1.8,85,54.16637833,39.203275,-54.16637833,-39.203275
"06,06,2009",13:01:05,54,6.4291,S,38,45.4569,W,2.2,49.2,54.10715167,38.757615,-54.10715167,-38.757615
"06,06,2009",13:30:40,54,3.8114,S,38,37.6937,W,6,41.3,54.06352333,38.62822833,-54.06352333,-38.62822833
"06,06,2009",14:10:29,54,2.345,S,38,10.095,W,3.7,61.2,54.03908333,38.16825,-54.03908333,-38.16825
"06,06,2009",14:30:59,54,0.5456,S,38,3.889,W,2.9,0,54.00909333,38.06481667,-54.00909333,-38.06481667
