id,weight,sex
5147731,11.15,F
R876,11.15,M
5116375,8.15,F
R291,8.9,M
5117599,7.9,F
5109766,9.9,M
5116353,7.35,F
5222685,10.4,M
5144771,8.65,F
BA88,7.25,F
5127237,9.35,M
GA97,10.25,M
5146273,7.75,M
5143083,7.95,M
5144948,8.55,F
5122454,8.15,F
5216938,8.45,F
5146279,8.75,M
5109491,9.19,F
5147358,10.29,M
5116432,7.59,F
4002403,7.29,F
RA94,10.3,M
4003028,10.8,M
5187159,9.2,M
5116480,8.4,F
5108648,7.3,F
5156460,10.5,M
5145073,11.6,M
5222562,7.6,F
5056443,8.8,F
B211,12.4,M
5108666,9,M
5216493,9.6,F
5145003,7.7,F
5116409,11.4,M
