id,weight,sex,age
5147731,11.15,F,16
R876,11.15,M,29
5116375,8.15,F,25
R291,8.9,M,29
5117599,7.9,F,24
5109766,9.9,M,26
5116353,7.35,F,25
5222685,10.4,M,
5144771,8.65,F,19
BA88,7.25,F,23
5127237,9.35,M,23
GA97,10.25,M,21
5146273,7.75,M,17
5143083,7.95,M,
5144948,8.55,F,19
5122454,8.15,F,23
5216938,8.45,F,
5146279,8.75,M,17
5109491,9.19,F,27
5147358,10.29,M,16
5116432,7.59,F,25
4002403,7.29,F,
5127214,10.3,M,23
4003028,10800,M,
5187159,9200,M,11
5116480,8400,F,25
5108648,7300,F,28
5156460,10500,M,14
5145073,11600,M,
5222562,7600,F,
5056443,8800,F,15
5077825,12400,M,33
5108666,9000,M,28
5216493,9600,F,9
5145003,7700,F,19
5116409,11400,M,25
